time_sec,source_frame_30fps,rally_id,player_a_track_id,player_a_x_m,player_a_y_m,player_a_vx_mps,player_a_vy_mps,player_a_speed_mps,player_a_accel_mps2,player_a_orientation_deg,player_a_zone,player_a_phase,player_a_tracking_status,player_a_confidence,player_a_pose_quality,player_b_track_id,player_b_x_m,player_b_y_m,player_b_vx_mps,player_b_vy_mps,player_b_speed_mps,player_b_accel_mps2,player_b_orientation_deg,player_b_zone,player_b_phase,player_b_tracking_status,player_b_confidence,player_b_pose_quality
0.00,0,1,p_a,3.80,11.20,0.00,0.00,0.00,0.00,270.0,rear_center,stroke,detected,0.95,0.93,p_b,3.00,2.70,0.00,0.00,0.00,0.00,90.0,mid_center,ready,detected,0.91,0.88
0.10,3,1,p_a,3.77,11.16,-0.34,-0.43,0.55,5.50,231.3,rear_center,move,detected,0.95,0.93,p_b,2.98,2.80,-0.21,0.99,1.01,10.11,102.3,mid_center,move,detected,0.91,0.88
0.20,6,1,p_a,3.67,11.04,-0.91,-1.13,1.45,9.00,231.3,rear_center,move,detected,0.95,0.93,p_b,2.92,3.06,-0.57,2.61,2.67,16.55,102.3,mid_center,move,detected,0.91,0.88
0.30,9,1,p_a,3.55,10.88,-1.28,-1.60,2.05,6.00,231.3,rear_center,move,detected,0.95,0.93,p_b,2.84,3.43,-0.80,3.68,3.77,11.03,102.3,mid_center,lunge_or_recover,detected,0.91,0.88
0.40,12,1,p_a,3.40,10.70,-1.47,-1.84,2.35,3.00,231.3,mid_center,move,detected,0.95,0.93,p_b,2.75,3.85,-0.92,4.22,4.32,5.52,102.3,mid_center,lunge_or_recover,detected,0.91,0.88
0.50,15,1,p_a,3.25,10.52,-1.47,-1.84,2.35,0.00,231.3,mid_center,move,detected,0.95,0.93,p_b,2.66,4.27,-0.92,4.22,4.32,0.00,102.3,mid_center,lunge_or_recover,detected,0.91,0.88
0.60,18,1,p_a,3.13,10.36,-1.28,-1.60,2.05,3.00,231.3,mid_center,move,detected,0.95,0.93,p_b,2.58,4.64,-0.80,3.68,3.77,5.52,102.3,front_center,lunge_or_recover,detected,0.91,0.88
0.70,21,1,p_a,3.03,10.24,-0.91,-1.13,1.45,6.00,231.3,mid_center,move,detected,0.95,0.93,p_b,2.52,4.90,-0.57,2.61,2.67,11.03,102.3,front_center,move,detected,0.91,0.88
0.80,24,1,p_a,3.00,10.20,-0.34,-0.43,0.55,9.00,231.3,mid_center,move,detected,0.95,0.93,p_b,2.50,5.00,-0.21,0.99,1.01,16.55,102.3,front_center,stroke,detected,0.91,0.88
0.90,27,1,p_a,3.05,10.25,0.49,0.52,0.72,12.70,46.6,mid_center,move,detected,0.95,0.93,p_b,2.51,4.95,0.15,-0.52,0.54,15.55,285.5,front_center,move,detected,0.91,0.88
1.00,30,1,p_a,3.18,10.39,1.34,1.42,1.95,12.31,46.6,mid_center,move,detected,0.95,0.93,p_b,2.55,4.81,0.39,-1.42,1.47,9.29,285.5,front_center,move,detected,0.91,0.88
1.10,33,1,p_a,3.38,10.60,1.97,2.08,2.87,9.15,46.6,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,2.61,4.60,0.58,-2.08,2.16,6.91,285.5,mid_center,move,detected,0.91,0.88
1.20,36,1,p_a,3.62,10.85,2.38,2.52,3.47,6.00,46.6,rear_center,lunge_or_recover,detected,0.95,0.93,p_b,2.68,4.35,0.70,-2.52,2.62,4.53,285.5,mid_center,move,detected,0.91,0.88
1.30,39,1,p_a,3.88,11.13,2.58,2.73,3.75,2.84,46.6,rear_center,lunge_or_recover,detected,0.95,0.93,p_b,2.76,4.07,0.76,-2.73,2.83,2.14,285.5,mid_center,lunge_or_recover,detected,0.91,0.88
1.40,42,1,p_a,4.13,11.40,2.55,2.70,3.72,0.32,46.6,rear_right,lunge_or_recover,detected,0.95,0.93,p_b,2.83,3.80,0.75,-2.70,2.81,0.24,285.5,mid_center,lunge_or_recover,detected,0.91,0.88
1.50,45,1,p_a,4.36,11.64,2.32,2.45,3.37,3.47,46.6,rear_right,lunge_or_recover,detected,0.95,0.93,p_b,2.90,3.56,0.68,-2.45,2.54,2.62,285.5,mid_center,move,detected,0.91,0.88
1.60,48,1,p_a,4.55,11.84,1.86,1.97,2.71,6.63,46.6,rear_right,move,detected,0.95,0.93,p_b,2.96,3.36,0.55,-1.97,2.04,5.00,285.5,mid_center,move,detected,0.91,0.88
