time_sec,source_frame_30fps,rally_id,shot_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_mps,speed_kmh,trajectory_phase,last_hitter,tracking_status,confidence
0.000,0,1,1,3.800,11.200,1.050,0.000,0.000,0.000,0.000,0.0,post_contact,player_a,detected,0.89
0.033,1,1,1,3.676,10.608,1.170,-3.723,-17.758,3.604,18.499,66.6,post_contact,player_a,detected,0.89
0.067,2,1,1,3.562,10.066,1.281,-3.411,-16.270,3.312,16.951,61.0,lower_half,player_a,detected,0.89
0.100,3,1,1,3.458,9.569,1.381,-3.126,-14.907,3.021,15.528,55.9,lower_half,player_a,detected,0.89
0.133,4,1,1,3.363,9.114,1.472,-2.864,-13.658,2.729,14.219,51.2,lower_half,player_a,detected,0.89
0.167,5,1,1,3.275,8.696,1.553,-2.624,-12.514,2.438,13.016,46.9,lower_half,player_a,detected,0.89
0.200,6,1,1,3.195,8.314,1.625,-2.404,-11.465,2.146,11.910,42.9,lower_half,player_a,detected,0.89
0.233,7,1,1,3.122,7.964,1.687,-2.203,-10.505,1.854,10.892,39.2,lower_half,player_a,detected,0.89
0.267,8,1,1,3.054,7.643,1.739,-2.018,-9.625,1.563,9.957,35.8,lower_half,player_a,detected,0.89
0.300,9,1,1,2.993,7.349,1.781,-1.849,-8.818,1.271,9.099,32.8,lower_half,player_a,detected,0.89
0.333,10,1,1,2.936,7.080,1.814,-1.694,-8.079,0.979,8.313,29.9,lower_half,player_a,detected,0.89
0.367,11,1,1,2.884,6.833,1.837,-1.552,-7.403,0.688,7.595,27.3,lower_half,player_a,detected,0.89
0.400,12,1,1,2.837,6.607,1.850,-1.422,-6.782,0.396,6.941,25.0,upper_half,player_a,detected,0.89
0.433,13,1,1,2.794,6.400,1.853,-1.303,-6.214,0.104,6.350,22.9,upper_half,player_a,detected,0.89
0.467,14,1,1,2.754,6.210,1.847,-1.194,-5.694,-0.188,5.820,21.0,upper_half,player_a,detected,0.89
0.500,15,1,1,2.717,6.036,1.831,-1.094,-5.217,-0.479,5.351,19.3,upper_half,player_a,detected,0.89
0.533,16,1,1,2.684,5.877,1.806,-1.002,-4.779,-0.771,4.944,17.8,upper_half,player_a,detected,0.89
0.567,17,1,1,2.653,5.731,1.770,-0.918,-4.379,-1.062,4.599,16.6,upper_half,player_a,detected,0.89
0.600,18,1,1,2.625,5.597,1.725,-0.841,-4.012,-1.354,4.317,15.5,upper_half,player_a,detected,0.89
0.633,19,1,1,2.600,5.475,1.670,-0.771,-3.676,-1.646,4.101,14.8,upper_half,player_a,detected,0.89
0.667,20,1,1,2.576,5.363,1.606,-0.706,-3.368,-1.937,3.949,14.2,upper_half,player_a,detected,0.89
0.700,21,1,1,2.554,5.260,1.531,-0.647,-3.086,-2.229,3.861,13.9,upper_half,player_a,detected,0.89
0.733,22,1,1,2.535,5.165,1.447,-0.593,-2.827,-2.521,3.834,13.8,approach_receiver,player_a,detected,0.89
0.767,23,1,1,2.517,5.079,1.353,-0.543,-2.590,-2.813,3.862,13.9,approach_receiver,player_a,detected,0.89
0.800,24,1,2,2.500,5.000,1.250,-0.498,-2.373,-3.104,3.939,14.2,post_contact,player_b,detected,0.89
0.833,25,1,2,2.707,5.658,1.337,6.208,19.754,2.604,20.870,75.1,post_contact,player_b,detected,0.89
